metric,count,mean,std,min,25%,50%,75%,max
elapsed_sec,22.0,22.98965630748055,4.781182911102949,16.152265548706055,20.59626418352127,22.513857126235962,25.92233645915985,37.07257318496704
gt_free_metrics_error,0.0,,,,,,,
image_width_px,22.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0
image_height_px,22.0,442.77272727272725,36.59291086455306,352.0,449.25,450.0,450.0,540.0
image_area_px,22.0,132831.81818181818,10977.873259365919,105600.0,134775.0,135000.0,135000.0,162000.0
npz_loaded_flag,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
npz_num_keys,22.0,19.0,0.0,19.0,19.0,19.0,19.0,19.0
num_vertices,22.0,10475.0,0.0,10475.0,10475.0,10475.0,10475.0,10475.0
num_faces,22.0,20908.0,0.0,20908.0,20908.0,20908.0,20908.0,20908.0
vertices_finite_ratio,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
faces_finite_ratio,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
bbox_size_x_m,22.0,0.6691434410485354,0.05413600474017675,0.6071824729442596,0.6275894120335579,0.658283606171608,0.6879835799336433,0.8537068068981171
bbox_size_y_m,22.0,1.5906339287757874,0.05878102298826074,1.393012821674347,1.5885019749403,1.5979989767074585,1.6068247854709625,1.6605942845344543
bbox_size_z_m,22.0,0.7092071331360124,0.02402831099865177,0.6432352066040039,0.6983759291470051,0.710165910422802,0.722196314483881,0.7547548413276672
bbox_diagonal_m,22.0,1.8668584878434258,0.04940755402199409,1.672147553233715,1.856390435098787,1.8705955427662113,1.8923993537322947,1.925498968371517
bbox_volume_m3,22.0,0.7553780841235981,0.0758809852292191,0.5940324656961188,0.7080940275685008,0.7598354713271767,0.7952136285453055,0.9371881916419644
estimated_height_m,22.0,1.5906339287757874,0.05878102298826074,1.393012821674347,1.5885019749403,1.5979989767074585,1.6068247854709625,1.6605942845344543
estimated_body_width_m,22.0,0.6691434410485354,0.05413600474017675,0.6071824729442596,0.6275894120335579,0.658283606171608,0.6879835799336433,0.8537068068981171
estimated_body_depth_m,22.0,0.7092071331360124,0.02402831099865177,0.6432352066040039,0.6983759291470051,0.710165910422802,0.722196314483881,0.7547548413276672
height_plausible_flag,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
width_plausible_flag,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
depth_plausible_flag,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
bbox_plausibility_score,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
surface_area_m2,22.0,1.7308080082493453,0.04425204501776591,1.684891484317509,1.6964225981173797,1.7160883801171058,1.7576361610549056,1.8648511820707891
signed_volume_m3,22.0,0.06521428013704303,0.0027729642273074586,0.0622172507663027,0.0632981469638175,0.0644369537187677,0.06672837965029227,0.0738400520355341
watertight_volume_m3,0.0,,,,,,,
is_watertight,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euler_number,22.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
connected_components,22.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
unique_edge_length_mean,22.0,0.011487026200126068,0.0001176033092311698,0.0113599402243237,0.011390863578391325,0.011448293526029999,0.011556197897755725,0.0118028055316473
unique_edge_length_std,22.0,0.00980016511615794,0.00018016800425287233,0.0096518083581123,0.009674938875722175,0.00972852865198515,0.009864845875457075,0.0103942623037894
unique_edge_length_min,22.0,0.00021285047082843632,5.766969424204622e-06,0.0001996960392954,0.000209799985333125,0.00021347193305225,0.000216447661276825,0.0002269606148701
unique_edge_length_max,22.0,0.0642598227956836,0.001421318364776596,0.0626890145747107,0.06342011315670795,0.06383675060317315,0.0644812719032489,0.0684196933035109
triangle_area_mean,22.0,8.278209337331858e-05,2.1165125797668807e-06,8.058597112672225e-05,8.113748795281135e-05,8.207807442687515e-05,8.406524588936798e-05,8.919318835234309e-05
triangle_area_std,22.0,0.00011566814770866815,4.667291574480711e-06,0.0001118918369627,0.00011259362665219999,0.00011378329739295,0.000117143059840625,0.0001317868114511
triangle_area_min,22.0,6.710298256228622e-08,7.978490465702755e-09,6.071511480314089e-08,6.3087823188647e-08,6.46453427141044e-08,6.564349477096634e-08,9.31165818868924e-08
triangle_area_max,22.0,0.0008878041618429501,5.776676550123516e-05,0.0008532579011679,0.0008591146274036,0.00087372424190115,0.000898492918931925,0.0011322030414309
degenerate_face_ratio,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_pred_joints_3d,22.0,123.0,0.0,123.0,123.0,123.0,123.0,123.0
joints_3d_finite_ratio,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
joints_3d_bbox_size_x,22.0,0.6281667243350636,0.05492190441395411,0.5692259073257446,0.5943937003612518,0.6280575841665268,0.6425557434558868,0.8145202994346619
joints_3d_bbox_size_y,22.0,1.5005490630865097,0.06188861637372647,1.2954475283622742,1.4999181255698204,1.5084193348884583,1.5187109410762787,1.5727137327194214
joints_3d_bbox_size_z,22.0,0.5541132561523806,0.026355344375156766,0.4810621663928032,0.5396154737100005,0.5549671035259962,0.56418895162642,0.6190420687198639
joints_3d_bbox_diagonal,22.0,1.7198918703812736,0.050691397534328185,1.5210287655123536,1.7096780887990435,1.720523630832471,1.7485791990958413,1.779408756113514
joints_3d_mean_norm,22.0,0.8051445686614311,0.013903601601437852,0.782432992188705,0.7998338296258026,0.8040601034228999,0.8106178773841188,0.8502999149679725
betas_count,22.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
betas_finite_ratio,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
betas_l2_norm,22.0,1.6244730286942684,0.31886048906019687,1.2947271317114375,1.4620722815492084,1.5744981047867905,1.6796282107409517,2.900289846084537
betas_abs_mean,22.0,0.38412281665951015,0.08554474813706335,0.3120614618062973,0.34966783458366985,0.36814820356667044,0.38348554028198123,0.7477893605828285
betas_abs_max,22.0,1.0386469933119686,0.2174431701753589,0.6894614100456238,0.903242439031601,1.044104516506195,1.144485741853714,1.6763827800750732
betas_std,22.0,0.4261991602024251,0.11600306253602934,0.335677834463081,0.3835129579432658,0.39791363135742563,0.4428142840985282,0.9025587769534806
betas_broad_plausible_flag,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
camera_count,22.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
camera_finite_ratio,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
camera_l2_norm,22.0,0.5763529292273857,0.16187196043711174,0.3020157689105705,0.46537548493741765,0.5974058416476795,0.6913083760494845,0.8738628675344952
camera_abs_max,22.0,0.44599458101120865,0.12921825723249558,0.214740976691246,0.36056009680032725,0.45716410875320435,0.4976729229092598,0.7026346325874329
camera_scale_or_s,22.0,0.17960677431388336,0.27371315950128455,-0.3896998763084411,0.0865479037165641,0.1967552378773689,0.3722147420048713,0.6051723957061768
transl_count,22.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
transl_finite_ratio,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
transl_l2_norm,22.0,33.16430210807528,7.965127494536537,21.86049804555246,27.673716562811144,33.33546980240132,36.14316363475781,53.74177492446036
global_rot_count,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
global_rot_orth_error_mean,22.0,1.1090674893949428e-07,6.521208441234694e-08,2.597225120194827e-08,5.81192979490694e-08,9.526601463392826e-08,1.5486784633219878e-07,2.3180493043344745e-07
global_rot_orth_error_max,22.0,1.1090674893949428e-07,6.521208441234694e-08,2.597225120194827e-08,5.81192979490694e-08,9.526601463392826e-08,1.5486784633219878e-07,2.3180493043344745e-07
global_rot_det_mean,22.0,0.9999999718156413,7.592608224889177e-08,0.9999998238331044,0.999999935434063,0.9999999891966159,1.0000000103101465,1.0000001486959365
global_rot_det_std,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global_rot_det_abs_error_mean,22.0,5.684958320761879e-08,5.66672806784137e-08,1.6615863129842976e-09,1.138121041854845e-08,2.7981662098497395e-08,9.103596912418688e-08,1.761668955158058e-07
global_rot_valid_rate,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
body_pose_rot_count,22.0,21.0,0.0,21.0,21.0,21.0,21.0,21.0
body_pose_rot_orth_error_mean,22.0,1.356195795914238e-07,1.2058769934387548e-08,1.1090409689472969e-07,1.2967617918346823e-07,1.3338850752911627e-07,1.4459461743489254e-07,1.617561837252374e-07
body_pose_rot_orth_error_max,22.0,2.876132869728917e-07,3.6866617404081305e-08,2.0003205721416569e-07,2.7194297403830354e-07,3.0027741168296835e-07,3.0910469843180536e-07,3.4783467529951226e-07
body_pose_rot_det_mean,22.0,0.9999999940074065,1.9987836619557714e-08,0.9999999600331564,0.999999984297238,0.9999999988075584,1.0000000092918953,1.0000000272503766
body_pose_rot_det_std,22.0,9.907657613117306e-08,1.1913940727454078e-08,7.909270261416176e-08,9.210291876209342e-08,9.877468158856692e-08,1.0836855380894316e-07,1.2049076479070246e-07
body_pose_rot_det_abs_error_mean,22.0,8.216234367250999e-08,9.709328220887607e-09,6.70484583779422e-08,7.377784501052954e-08,8.235408497211543e-08,9.028231898453694e-08,9.703948884654509e-08
body_pose_rot_valid_rate,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
openpose_loaded_flag,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
openpose_error,0.0,,,,,,,
openpose_num_keypoints,22.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0
openpose_visible_keypoints,22.0,23.09090909090909,3.5038630505566677,14.0,24.0,25.0,25.0,25.0
openpose_visibility_ratio,22.0,0.9236363636363638,0.1401545220222667,0.56,0.96,1.0,1.0,1.0
openpose_conf_mean_all,22.0,0.6580674316363636,0.12868089992323742,0.32163376,0.63006746,0.695197002,0.7464172800000001,0.8012548799999999
openpose_conf_mean_visible,22.0,0.7082545299933543,0.06079528410675516,0.574346,0.6546679865,0.7240936905882354,0.7602725699999999,0.8012548799999999
openpose_bbox_width_px,22.0,122.987,40.19740451586869,67.80300000000001,94.8071,119.42345,139.1513,255.1854
openpose_bbox_height_px,22.0,326.79076363636364,35.24632781656693,267.71400000000006,298.01125,317.22215,349.882425,395.09
openpose_bbox_diag_px,22.0,350.75266747888395,41.18102299796955,278.39883681509883,321.8537209344984,344.26869554865243,378.43916439706175,435.3344719113914
openpose_bbox_area_ratio,22.0,0.3051951625189492,0.11088391341756262,0.1518198740311804,0.22027792162402363,0.2852936991672691,0.3775789259043715,0.6666934064893334
pred_proj_num_joints,22.0,123.0,0.0,123.0,123.0,123.0,123.0,123.0
pred_proj_finite_ratio,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
pred_proj_inside_image_ratio,22.0,0.010347376201034729,0.020100471597971115,0.0,0.0,0.0,0.0121951219512195,0.073170731707317
openpose_reprojection_proxy_valid_pairs,22.0,23.09090909090909,3.5038630505566677,14.0,24.0,25.0,25.0,25.0
openpose_reprojection_proxy_px_mean,22.0,296.73330477852556,31.846875788859453,247.4882138372333,271.2852255400691,301.30257736075305,317.84719203963056,357.26619350476204
openpose_reprojection_proxy_px_median,22.0,278.3005430920358,31.45647775095946,219.48107792385855,252.2102913647459,279.7665763268243,307.027206087967,322.7713117705275
openpose_reprojection_proxy_px_p90,22.0,425.45820196577637,43.579519900205945,345.86034149294494,397.4913478078894,431.5989398149021,451.79587311196855,518.2259142270391
openpose_reprojection_proxy_norm_by_bbox_mean,22.0,0.85848212267861,0.1475940831103276,0.5849339726301521,0.7520829534718666,0.8321069738943987,0.9302778185828833,1.2439528763580294
openpose_reprojection_proxy_pck_05_bbox,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openpose_reprojection_proxy_pck_10_bbox,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
