sample_i,sample_j,pairwise_centered_shape_vertex_distance_mean
img_00,img_01,0.004694144051066604
img_00,img_02,0.00615955662916017
img_00,img_03,0.004291892491423073
img_00,img_04,0.001506499964068947
img_00,img_05,0.0049238565991085595
img_00,img_06,0.0026625914446361306
img_00,img_07,0.011400069110293717
img_00,img_08,0.0016139488788073772
img_00,img_09,0.0013193955763598224
img_00,img_10,0.006270772045796702
img_00,img_11,0.0016896349836092574
img_00,img_12,0.003160864888735646
img_00,img_13,0.005622154691757302
img_00,img_14,0.001468682957711866
img_00,img_15,0.001575766714269786
img_00,img_16,0.0027771900778345757
img_00,img_17,0.0010336752582759592
img_00,img_18,0.007719770354851461
img_00,img_19,0.0030285944684606022
img_00,img_20,0.0032081063170638427
img_00,img_21,0.0030825008498877753
img_01,img_02,0.002865276789499524
img_01,img_03,0.0017141700089836113
img_01,img_04,0.003316752334675792
img_01,img_05,0.0008273244770490718
img_01,img_06,0.0073324424247113475
img_01,img_07,0.00972163864338968
img_01,img_08,0.005736596879091701
img_01,img_09,0.004401548826439981
img_01,img_10,0.0020043933729760456
img_01,img_11,0.005922078783607471
img_01,img_12,0.007574111270633518
img_01,img_13,0.004463460835425767
img_01,img_14,0.006049850670414699
img_01,img_15,0.005391053282526485
img_01,img_16,0.007054461656108679
img_01,img_17,0.004328001899169594
img_01,img_18,0.004478160449331197
img_01,img_19,0.007646318970588235
img_01,img_20,0.002923608462288261
img_01,img_21,0.0076990754986408705
img_02,img_03,0.002128053770444525
img_02,img_04,0.004794739093864541
img_02,img_05,0.003000126992629401
img_02,img_06,0.008714963234563415
img_02,img_07,0.009349874420350032
img_02,img_08,0.007225520980502243
img_02,img_09,0.006034444941108829
img_02,img_10,0.0034527146636951136
img_02,img_11,0.007631533421476686
img_02,img_12,0.008936021247484896
img_02,img_13,0.004499325000280306
img_02,img_14,0.0073986014741346685
img_02,img_15,0.006566606605280407
img_02,img_16,0.008510705597788567
img_02,img_17,0.005953373708577179
img_02,img_18,0.004500855013216097
img_02,img_19,0.009071621639329846
img_02,img_20,0.0051646283913602395
img_02,img_21,0.009182169871744502
img_03,img_04,0.0030169787026539632
img_03,img_05,0.0018781621820557852
img_03,img_06,0.006869218680452067
img_03,img_07,0.009267095371273607
img_03,img_08,0.005335050166283061
img_03,img_09,0.004123017549575028
img_03,img_10,0.002706890955880258
img_03,img_11,0.005691196504504089
img_03,img_12,0.007107278726410342
img_03,img_13,0.00361670194591418
img_03,img_14,0.005557654577777663
img_03,img_15,0.004740682220066102
img_03,img_16,0.0066199161035410455
img_03,img_17,0.004004631860559746
img_03,img_18,0.004611595023146264
img_03,img_19,0.007226799952709905
img_03,img_20,0.0036086343201840194
img_03,img_21,0.007305732198774687
img_04,img_05,0.0036159406836713632
img_04,img_06,0.004144100210976028
img_04,img_07,0.010814176542445023
img_04,img_08,0.0027904613258135018
img_04,img_09,0.0017423342978127772
img_04,img_10,0.005019049473216032
img_04,img_11,0.0029450960548397832
img_04,img_12,0.004497925168764478
img_04,img_13,0.004982336197914977
img_04,img_14,0.0028761682910145073
img_04,img_15,0.002470989669169029
img_04,img_16,0.0041001000470346615
img_04,img_17,0.0014624655794856607
img_04,img_18,0.0065438710347342265
img_04,img_19,0.0044868149787277364
img_04,img_20,0.002773023627787769
img_04,img_21,0.004552127773761646
img_05,img_06,0.007560545374278628
img_05,img_07,0.009276580110544464
img_05,img_08,0.005980993620430914
img_05,img_09,0.004639126506688286
img_05,img_10,0.0015620243992745418
img_05,img_11,0.006113735683212461
img_05,img_12,0.007835611028758275
img_05,img_13,0.004035883405591863
img_05,img_14,0.006304782570984776
img_05,img_15,0.005693060384751694
img_05,img_16,0.007296103439473348
img_05,img_17,0.004539398152571771
img_05,img_18,0.0037784479907994866
img_05,img_19,0.007877805067820697
img_05,img_20,0.00318818527502547
img_05,img_21,0.007916181113393077
img_06,img_07,0.013212504064322799
img_06,img_08,0.0019061114832620296
img_06,img_09,0.0031029688924321674
img_06,img_10,0.00887441148369062
img_06,img_11,0.0018811001160522446
img_06,img_12,0.0014519762621132033
img_06,img_13,0.007868844649910126
img_06,img_14,0.001333753592973587
img_06,img_15,0.0023727918596084673
img_06,img_16,0.0014180008492922108
img_06,img_17,0.003092201561336146
img_06,img_18,0.010296477793253375
img_06,img_19,0.0007713284336601267
img_06,img_20,0.004915786628205567
img_06,img_21,0.0008832106660829848
img_07,img_08,0.012567978266507124
img_07,img_09,0.011565711608554309
img_07,img_10,0.008579650730121742
img_07,img_11,0.01230574349036316
img_07,img_12,0.014049468330093252
img_07,img_13,0.005961598937139361
img_07,img_14,0.01242653085489741
img_07,img_15,0.01171889043117111
img_07,img_16,0.013501612104745785
img_07,img_17,0.011242546648151334
img_07,img_18,0.007118342344934195
img_07,img_19,0.013754806616687132
img_07,img_20,0.011372298270767566
img_07,img_21,0.013646817244947136
img_08,img_09,0.0014048314066375752
img_08,img_10,0.007246042808968571
img_08,img_11,0.0011800850348176728
img_08,img_12,0.002011990511140156
img_08,img_13,0.006843082669603081
img_08,img_14,0.0012478925428660579
img_08,img_15,0.001787561723653886
img_08,img_16,0.0013470989031044542
img_08,img_17,0.001627842787931336
img_08,img_18,0.009010280266731419
img_08,img_19,0.00213174235829382
img_08,img_20,0.0031818779453129187
img_08,img_21,0.002182843344934041
img_09,img_10,0.005872045241496215
img_09,img_11,0.0017547844749717049
img_09,img_12,0.003380360886261153
img_09,img_13,0.005773316460560916
img_09,img_14,0.00203439305191889
img_09,img_15,0.0019699880995401086
img_09,img_16,0.0026999652636774366
img_09,img_17,0.0007076191568977013
img_09,img_18,0.007747095057706315
img_09,img_19,0.0034310657414232688
img_09,img_20,0.002256931738357417
img_09,img_21,0.003451062916165842
img_10,img_11,0.007378278378771973
img_10,img_12,0.009155548675399972
img_10,img_13,0.003586912963457016
img_10,img_14,0.007641449338465625
img_10,img_15,0.006934987821525279
img_10,img_16,0.008535866508474555
img_10,img_17,0.005813725941687164
img_10,img_18,0.0031297533067974536
img_10,img_19,0.009213068808085792
img_10,img_20,0.004421423602234462
img_10,img_21,0.00923031313427624
img_11,img_12,0.002562276434963285
img_11,img_13,0.006689827816164097
img_11,img_14,0.0016924435592581704
img_11,img_15,0.002431565141008974
img_11,img_16,0.0018701644072495935
img_11,img_17,0.0017080805145832613
img_11,img_18,0.008937534940905718
img_11,img_19,0.0021609217785144106
img_11,img_20,0.0035017001544111913
img_11,img_21,0.002013920522967459
img_12,img_13,0.008520668651082208
img_12,img_14,0.0018308247965339137
img_12,img_15,0.002691225254263975
img_12,img_16,0.001010479772672146
img_12,img_17,0.003492644266687646
img_12,img_18,0.010803896560372625
img_12,img_19,0.0009764512317573226
img_12,img_20,0.004924857331381978
img_12,img_21,0.0012312066186418514
img_13,img_14,0.006857828083986544
img_13,img_15,0.006167480899155739
img_13,img_16,0.007931550185427119
img_13,img_17,0.005430078429310297
img_13,img_18,0.0038428663723693965
img_13,img_19,0.008337356015355101
img_13,img_20,0.005845664202358462
img_13,img_21,0.00827721908571052
img_14,img_15,0.001318514101072578
img_14,img_16,0.0016439783922530013
img_14,img_17,0.0020325934695783346
img_14,img_18,0.009120027646773164
img_14,img_19,0.0017094945937593676
img_14,img_20,0.0038956695735959737
img_14,img_21,0.0018400795944734903
img_15,img_16,0.002388701778799588
img_15,img_17,0.0020477527053494107
img_15,img_18,0.008495913234219108
img_15,img_19,0.0028507407075097305
img_15,img_20,0.0038554693772877993
img_15,img_21,0.0030113853888801547
img_16,img_17,0.0028380235945062817
img_16,img_18,0.010282095342359025
img_16,img_19,0.0013935693623023746
img_16,img_20,0.004377181706844947
img_16,img_21,0.0013910450574179626
