method,sample_id,input_type,status_from_inference,input_image,input_keypoints,pred_npz,pred_mesh,elapsed_sec,gt_free_metrics_status,gt_free_metrics_error,image_width_px,image_height_px,image_area_px,npz_loaded_flag,npz_num_keys,npz_keys,num_vertices,num_faces,vertices_finite_ratio,faces_finite_ratio,bbox_size_x_m,bbox_size_y_m,bbox_size_z_m,bbox_diagonal_m,bbox_volume_m3,estimated_height_m,estimated_body_width_m,estimated_body_depth_m,height_plausible_flag,width_plausible_flag,depth_plausible_flag,bbox_plausibility_score,surface_area_m2,signed_volume_m3,watertight_volume_m3,is_watertight,euler_number,connected_components,unique_edge_length_mean,unique_edge_length_std,unique_edge_length_min,unique_edge_length_max,triangle_area_mean,triangle_area_std,triangle_area_min,triangle_area_max,degenerate_face_ratio,mesh_source,num_pred_joints_3d,joints_3d_finite_ratio,joints_3d_bbox_size_x,joints_3d_bbox_size_y,joints_3d_bbox_size_z,joints_3d_bbox_diagonal,joints_3d_mean_norm,betas_count,betas_finite_ratio,betas_l2_norm,betas_abs_mean,betas_abs_max,betas_std,betas_broad_plausible_flag,camera_count,camera_finite_ratio,camera_l2_norm,camera_abs_max,camera_scale_or_s,transl_count,transl_finite_ratio,transl_l2_norm,global_rot_count,global_rot_orth_error_mean,global_rot_orth_error_max,global_rot_det_mean,global_rot_det_std,global_rot_det_abs_error_mean,global_rot_valid_rate,body_pose_rot_count,body_pose_rot_orth_error_mean,body_pose_rot_orth_error_max,body_pose_rot_det_mean,body_pose_rot_det_std,body_pose_rot_det_abs_error_mean,body_pose_rot_valid_rate,openpose_loaded_flag,openpose_error,openpose_num_keypoints,openpose_visible_keypoints,openpose_visibility_ratio,openpose_conf_mean_all,openpose_conf_mean_visible,openpose_bbox_width_px,openpose_bbox_height_px,openpose_bbox_diag_px,openpose_bbox_area_ratio,pred_proj_num_joints,pred_proj_finite_ratio,pred_proj_inside_image_ratio,openpose_reprojection_proxy_valid_pairs,openpose_reprojection_proxy_px_mean,openpose_reprojection_proxy_px_median,openpose_reprojection_proxy_px_p90,openpose_reprojection_proxy_norm_by_bbox_mean,openpose_reprojection_proxy_pck_05_bbox,openpose_reprojection_proxy_pck_10_bbox
SHAPY,img_00,image,ok,/workspace/evaluation/shapy/shapy_input/images/img_00.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_00.json,/workspace/evaluation/shapy/predictions_shapy/img_00/img_00.npz,/workspace/evaluation/shapy/predictions_shapy/img_00/img_00.ply,37.07257318496704,ok,,300,450,135000.0,1.0,19,"betas,body_pose,camera,center,faces,fname,focal_length_in_mm,focal_length_in_px,global_rot,joints,proj_joints,raw_body_pose,raw_global_rot,sensor_width,shift_x,shift_y,transl,v_shaped,vertices",10475,20908,1.0,1.0,0.6817350089550018,1.6052724123001099,0.7235916256904602,1.8881861616101452,0.7918772585617836,1.6052724123001099,0.6817350089550018,0.7235916256904602,1.0,1.0,1.0,1.0,1.7120602175368391,0.06391650950194176,,0.0,5.0,3,0.011444860385839485,0.00973177425320267,0.00021187710424350545,0.06392983243860285,8.18854131211421e-05,0.0001137564187448339,6.427367454845651e-08,0.0008654437276945348,0.0,npz_vertices_faces,123,1.0,0.6437509953975677,1.516166865825653,0.5687946490943432,1.7426143181844054,0.8131372019436933,10,1.0,1.5989371801722898,0.35884503573179244,1.1115375757217407,0.40111495754566884,1.0,3,1.0,0.4347030617653773,0.3374060392379761,0.14869092404842377,3,1.0,27.979201153970173,1,2.7678824368197317e-08,2.7678824368197317e-08,0.9999999861506998,0.0,1.384930015113639e-08,1.0,21,1.4519137420551865e-07,2.728384531797042e-07,1.0000000038730636,1.1290094241350885e-07,9.301053397311623e-08,1.0,1.0,,25,25,1.0,0.7399565199999999,0.7399565199999999,97.59080000000002,382.6316,394.88087515502696,0.27660239962429634,123,1.0,0.0,25,291.8130593747556,268.8726340489069,454.77640209655425,0.7389901049530248,0.0,0.0
SHAPY,img_01,image,ok,/workspace/evaluation/shapy/shapy_input/images/img_01.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_01.json,/workspace/evaluation/shapy/predictions_shapy/img_01/img_01.npz,/workspace/evaluation/shapy/predictions_shapy/img_01/img_01.ply,26.868605613708496,ok,,300,450,135000.0,1.0,19,"betas,body_pose,camera,center,faces,fname,focal_length_in_mm,focal_length_in_px,global_rot,joints,proj_joints,raw_body_pose,raw_global_rot,sensor_width,shift_x,shift_y,transl,v_shaped,vertices",10475,20908,1.0,1.0,0.649197518825531,1.59787118434906,0.7244342863559723,1.8706829703267147,0.7514803220027121,1.59787118434906,0.649197518825531,0.7244342863559723,1.0,1.0,1.0,1.0,1.7607393327907503,0.06740540550552716,,0.0,5.0,3,0.011575217841346283,0.009880698944685629,0.00021908832832237486,0.06520488971067137,8.421366619431559e-05,0.00011764116126078293,6.425995705841513e-08,0.0009006905551230063,0.0,npz_vertices_faces,123,1.0,0.5939059555530548,1.5087078213691711,0.5740215368568897,1.720007063670799,0.8203185550304573,10,1.0,1.2947271317114377,0.31983672119677065,0.7181200981140137,0.3357513087422492,1.0,3,1.0,0.6951710926026986,0.4867045283317566,0.13400104641914368,3,1.0,36.26073111260761,1,1.902013009465763e-07,1.902013009465763e-07,0.9999998824966209,0.0,1.1750337913785103e-07,1.0,21,1.227427066614578e-07,2.549544525712334e-07,1.0000000072945328,9.451901426924982e-08,7.887038146919558e-08,1.0,1.0,,25,25,1.0,0.74389332,0.74389332,116.30699999999999,298.894,320.7256483117619,0.2575071441333333,123,1.0,0.0,25,299.0219182810558,281.0501461683681,419.375213910861,0.9323292971892008,0.0,0.0
SHAPY,img_02,image,ok,/workspace/evaluation/shapy/shapy_input/images/img_02.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_02.json,/workspace/evaluation/shapy/predictions_shapy/img_02/img_02.npz,/workspace/evaluation/shapy/predictions_shapy/img_02/img_02.ply,29.355066537857056,ok,,300,450,135000.0,1.0,19,"betas,body_pose,camera,center,faces,fname,focal_length_in_mm,focal_length_in_px,global_rot,joints,proj_joints,raw_body_pose,raw_global_rot,sensor_width,shift_x,shift_y,transl,v_shaped,vertices",10475,20908,1.0,1.0,0.6274728178977966,1.393012821674347,0.6796106100082397,1.672147553233715,0.5940324656961188,1.393012821674347,0.6274728178977966,0.6796106100082397,1.0,1.0,1.0,1.0,1.802954035831883,0.06972215668181013,,0.0,5.0,3,0.01171385997644758,0.010153790305488278,0.00020765037754297733,0.06786637887753628,8.623273559555591e-05,0.0001239799841987988,6.552803032716296e-08,0.000898974449257098,0.0,npz_vertices_faces,123,1.0,0.5737566947937012,1.2954475283622742,0.5533059388399124,1.5210287655123536,0.782432992188705,10,1.0,1.4363076080476944,0.34947806857526303,0.7723833322525024,0.37426728973187173,1.0,3,1.0,0.4636216916439509,0.38969987630844116,-0.38969987630844116,3,1.0,53.74177492446036,1,1.464331180166208e-07,1.464331180166208e-07,0.9999999470011655,0.0,5.2998834543238615e-08,1.0,21,1.3044474727062997e-07,3.3200484416455013e-07,0.9999999839944325,1.015418247826974e-07,8.177118399859446e-08,1.0,1.0,,25,25,1.0,0.7348177200000001,0.7348177200000001,102.61519999999999,296.384,313.64526893776036,0.22528521064296295,123,1.0,0.024390243902439025,25,319.23729050785437,308.7610254721747,442.85428615821115,1.0178291277564389,0.0,0.0
SHAPY,img_03,image,ok,/workspace/evaluation/shapy/shapy_input/images/img_03.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_03.json,/workspace/evaluation/shapy/predictions_shapy/img_03/img_03.npz,/workspace/evaluation/shapy/predictions_shapy/img_03/img_03.ply,16.901036977767944,ok,,300,540,162000.0,1.0,19,"betas,body_pose,camera,center,faces,fname,focal_length_in_mm,focal_length_in_px,global_rot,joints,proj_joints,raw_body_pose,raw_global_rot,sensor_width,shift_x,shift_y,transl,v_shaped,vertices",10475,20908,1.0,1.0,0.6539100110530853,1.6548056602478027,0.7359118163585663,1.9254989683715171,0.7963257518731461,1.6548056602478027,0.6539100110530853,0.7359118163585663,1.0,1.0,1.0,1.0,1.7551433901554985,0.06671678291426099,,0.0,5.0,3,0.011556218465806706,0.009834266190556728,0.0002055168524600549,0.06405604325054705,8.394602019109902e-05,0.00011666511447796986,6.45099777745362e-08,0.000897048327956718,0.0,npz_vertices_faces,123,1.0,0.6156631410121918,1.5654504895210266,0.5756808668375015,1.77794398077819,0.806157765874745,10,1.0,1.461888343256254,0.3853235300630331,0.6894614100456238,0.3408187534976152,1.0,3,1.0,0.31917399215534004,0.24148190021514893,-0.2036660611629486,3,1.0,35.21774966388172,1,2.3139561381162725e-07,2.3139561381162725e-07,0.9999998238331045,0.0,1.7616689551580578e-07,1.0,21,1.4266167038640886e-07,3.203593333849034e-07,0.9999999852056549,9.680789991469907e-08,7.444427442218494e-08,1.0,1.0,,25,25,1.0,0.7646105599999999,0.7646105599999999,155.70999999999998,395.09,424.6665894557753,0.37974977716049374,123,1.0,0.024390243902439025,25,357.26619350476204,322.7713117705275,518.2259142270391,0.8412863229071326,0.0,0.0
SHAPY,img_04,image,ok,/workspace/evaluation/shapy/shapy_input/images/img_04.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_04.json,/workspace/evaluation/shapy/predictions_shapy/img_04/img_04.npz,/workspace/evaluation/shapy/predictions_shapy/img_04/img_04.ply,26.613699913024902,ok,,300,450,135000.0,1.0,19,"betas,body_pose,camera,center,faces,fname,focal_length_in_mm,focal_length_in_px,global_rot,joints,proj_joints,raw_body_pose,raw_global_rot,sensor_width,shift_x,shift_y,transl,v_shaped,vertices",10475,20908,1.0,1.0,0.7224491536617279,1.5942326784133911,0.7547548413276672,1.9060864311607788,0.8692904351877632,1.5942326784133911,0.7224491536617279,0.7547548413276672,1.0,1.0,1.0,1.0,1.7308198723840715,0.06531141463778169,,0.0,5.0,3,0.01149740769142553,0.00978993201412151,0.00020910761236306685,0.06450945135830678,8.27826608180635e-05,0.00011526016512020578,6.144941340867111e-08,0.0008768397484242723,0.0,npz_vertices_faces,123,1.0,0.6896260678768158,1.503967970609665,0.5923299565911293,1.7573726262777174,0.8106240550317284,10,1.0,1.5436146612433084,0.3644281953573227,1.0287531614303589,0.383281211180341,1.0,3,1.0,0.3020157689105705,0.21474097669124603,-0.14897704124450684,3,1.0,39.951768639139026,1,6.90560177906397e-08,6.90560177906397e-08,1.0000000205393436,0.0,2.0539343559278223e-08,1.0,21,1.1090409689472967e-07,3.099372395275045e-07,0.9999999662495892,8.251748392295426e-08,6.70484583779422e-08,1.0,1.0,,25,14,0.56,0.32163376,0.574346,86.29899999999999,331.396,342.4482825435105,0.2118455066962963,123,1.0,0.0,14,312.43846510721977,309.87821006949684,433.8148376102551,0.9123668624838912,0.0,0.0
SHAPY,img_05,image,ok,/workspace/evaluation/shapy/shapy_input/images/img_05.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_05.json,/workspace/evaluation/shapy/predictions_shapy/img_05/img_05.npz,/workspace/evaluation/shapy/predictions_shapy/img_05/img_05.ply,22.10209918022156,ok,,300,450,135000.0,1.0,19,"betas,body_pose,camera,center,faces,fname,focal_length_in_mm,focal_length_in_px,global_rot,joints,proj_joints,raw_body_pose,raw_global_rot,sensor_width,shift_x,shift_y,transl,v_shaped,vertices",10475,20908,1.0,1.0,0.6208681464195251,1.600698709487915,0.7066280841827393,1.8566197411291474,0.702263129966248,1.600698709487915,0.6208681464195251,0.7066280841827393,1.0,1.0,1.0,1.0,1.7542724373693055,0.06661378385964399,,0.0,5.0,3,0.011556136193602896,0.009867174830962121,0.0002158669197376799,0.06496010114112187,8.390436375403221e-05,0.00011721426730600205,6.566902146130657e-08,0.0008961072133679017,0.0,npz_vertices_faces,123,1.0,0.5692259073257446,1.5114657878875732,0.5598876848816872,1.7093920501767859,0.8105993444412899,10,1.0,1.3132524713570732,0.3120614618062973,0.794335126876831,0.34965960875534435,1.0,3,1.0,0.6365444401662317,0.4812401235103607,0.10431353747844696,3,1.0,34.27059251046189,1,1.4161990616160216e-07,1.4161990616160216e-07,1.000000026617965,0.0,2.661796494329849e-08,1.0,21,1.465766240062895e-07,2.2922858485095357e-07,0.9999999677261178,8.706967076143863e-08,7.455266482994528e-08,1.0,1.0,,25,25,1.0,0.6479688,0.6479688,131.3866,320.18,346.0891085537943,0.31161008583703703,123,1.0,0.0,25,311.1937243304395,291.92662645311776,441.11522181290195,0.8991722554657312,0.0,0.0
SHAPY,img_06,image,ok,/workspace/evaluation/shapy/shapy_input/images/img_06.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_06.json,/workspace/evaluation/shapy/predictions_shapy/img_06/img_06.npz,/workspace/evaluation/shapy/predictions_shapy/img_06/img_06.ply,16.76355266571045,ok,,300,463,138900.0,1.0,19,"betas,body_pose,camera,center,faces,fname,focal_length_in_mm,focal_length_in_px,global_rot,joints,proj_joints,raw_body_pose,raw_global_rot,sensor_width,shift_x,shift_y,transl,v_shaped,vertices",10475,20908,1.0,1.0,0.6134333610534668,1.5900540351867676,0.688712865114212,1.8381778297653637,0.6717651505158198,1.5900540351867676,0.6134333610534668,0.688712865114212,1.0,1.0,1.0,1.0,1.6913901911446827,0.06271745792549269,,0.0,5.0,3,0.01137916795008733,0.009663496270536656,0.0002166412417899235,0.0634030856975956,8.089679506144456e-05,0.00011223720617723201,6.556691469994565e-08,0.0008565968491640122,0.0,npz_vertices_faces,123,1.0,0.574041098356247,1.5023613572120667,0.5329684019088745,1.6943046206864423,0.7944634546327837,10,1.0,1.7451286377990927,0.40812480747699736,1.2371279001235962,0.45347236196170326,1.0,3,1.0,0.6581014368248866,0.49079129099845886,0.3428894877433777,3,1.0,27.571888365758138,1,8.444943575362125e-08,8.444943575362125e-08,1.000000016091192,0.0,1.6091191934464177e-08,1.0,21,1.3778885879472602e-07,3.06607075144708e-07,0.9999999896366577,1.0582286493064214e-07,8.792299478953072e-08,1.0,1.0,,25,24,0.96,0.74730372,0.778441375,89.326,339.932,351.47247246406084,0.21860882528437725,123,1.0,0.0,24,324.8039302018903,310.6420149939397,462.44955866947737,0.9241233827639306,0.0,0.0
SHAPY,img_07,image,ok,/workspace/evaluation/shapy/shapy_input/images/img_07.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_07.json,/workspace/evaluation/shapy/predictions_shapy/img_07/img_07.npz,/workspace/evaluation/shapy/predictions_shapy/img_07/img_07.ply,20.190969944000244,ok,,300,450,135000.0,1.0,19,"betas,body_pose,camera,center,faces,fname,focal_length_in_mm,focal_length_in_px,global_rot,joints,proj_joints,raw_body_pose,raw_global_rot,sensor_width,shift_x,shift_y,transl,v_shaped,vertices",10475,20908,1.0,1.0,0.8537068068981171,1.4653053283691406,0.7491864860057831,1.8539728715126518,0.9371881916419644,1.4653053283691406,0.8537068068981171,0.7491864860057831,1.0,1.0,1.0,1.0,1.8648511820707894,0.07384005203553419,,0.0,5.0,3,0.01180280553164732,0.010394262303789424,0.00019969603929546783,0.06841969330351091,8.919318835234309e-05,0.00013178681145113957,9.31165818868924e-08,0.0011322030414309358,0.0,npz_vertices_faces,123,1.0,0.8145202994346619,1.3605207800865173,0.6190420687198639,1.702255325761481,0.8502999149679725,10,1.0,2.900289846084537,0.7477893605828285,1.6763827800750732,0.9025587769534806,1.0,3,1.0,0.7552258664992293,0.6051723957061768,0.6051723957061768,3,1.0,22.112648448605853,1,5.447372466854596e-08,5.447372466854596e-08,0.999999992242532,0.0,7.757468001301504e-09,1.0,21,1.497300858116363e-07,2.626813370060484e-07,0.999999999678304,1.043661616876326e-07,9.059139555971691e-08,1.0,1.0,,25,17,0.68,0.48800876000000004,0.7176599411764706,255.18540000000002,352.69890000000004,435.3344719113914,0.6666934064893334,123,1.0,0.04878048780487805,17,254.64192207797956,241.81210047953041,345.86034149294494,0.5849339726301521,0.0,0.0
SHAPY,img_08,image,ok,/workspace/evaluation/shapy/shapy_input/images/img_08.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_08.json,/workspace/evaluation/shapy/predictions_shapy/img_08/img_08.npz,/workspace/evaluation/shapy/predictions_shapy/img_08/img_08.ply,21.55513906478882,ok,,300,450,135000.0,1.0,19,"betas,body_pose,camera,center,faces,fname,focal_length_in_mm,focal_length_in_px,global_rot,joints,proj_joints,raw_body_pose,raw_global_rot,sensor_width,shift_x,shift_y,transl,v_shaped,vertices",10475,20908,1.0,1.0,0.6071824729442596,1.602070689201355,0.6862642019987106,1.845605484277108,0.6675629829241627,1.602070689201355,0.6071824729442596,0.6862642019987106,1.0,1.0,1.0,1.0,1.6997787174106271,0.0633434340594672,,0.0,5.0,3,0.011402257555525735,0.009682693133647549,0.0002129806179109424,0.06333237186849602,8.129800638084117e-05,0.00011257517430435147,6.493115137405766e-08,0.0008603701573355823,0.0,npz_vertices_faces,123,1.0,0.5712916553020477,1.5140247344970703,0.5288917198777199,1.7024604263952483,0.7952364438989419,10,1.0,1.583925462377251,0.34851438328623774,1.0415810346603394,0.3986903535831186,1.0,3,1.0,0.7117156725710467,0.4879070222377777,0.4879070222377777,3,1.0,24.97577536200017,1,1.5501087147006627e-07,1.5501087147006627e-07,0.999999869213871,0.0,1.3078612903782982e-07,1.0,21,1.2959740538854312e-07,2.0003205721416566e-07,1.0000000181005175,7.909270261416176e-08,7.176276641183779e-08,1.0,1.0,,25,25,1.0,0.77040504,0.77040504,117.5273,341.433,361.0943917236738,0.2972422120066666,123,1.0,0.0,25,290.4699537281042,273.240571438599,437.36246039593794,0.8044155777151623,0.0,0.0
SHAPY,img_09,image,ok,/workspace/evaluation/shapy/shapy_input/images/img_09.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_09.json,/workspace/evaluation/shapy/predictions_shapy/img_09/img_09.npz,/workspace/evaluation/shapy/predictions_shapy/img_09/img_09.ply,20.91570615768433,ok,,300,450,135000.0,1.0,19,"betas,body_pose,camera,center,faces,fname,focal_length_in_mm,focal_length_in_px,global_rot,joints,proj_joints,raw_body_pose,raw_global_rot,sensor_width,shift_x,shift_y,transl,v_shaped,vertices",10475,20908,1.0,1.0,0.6524669229984283,1.595964789390564,0.6981323212385178,1.8601627435628811,0.7269751242618596,1.595964789390564,0.6524669229984283,0.6981323212385178,1.0,1.0,1.0,1.0,1.7116145955750635,0.06411155229126872,,0.0,5.0,3,0.011435997687317888,0.009725283050767728,0.00021413786576509767,0.06347119553404505,8.186409965444153e-05,0.0001135595885717952,6.498922104577056e-08,0.0008706087353781489,0.0,npz_vertices_faces,123,1.0,0.6018997132778168,1.5068596005439758,0.5413178242743015,1.7105362046658152,0.8007077646943052,10,1.0,1.5520271717081986,0.35023713260889056,1.050889492034912,0.39713690913173266,1.0,3,1.0,0.7018121988517829,0.4997527599334717,0.4997527599334717,3,1.0,21.86049804555246,1,8.248519942021296e-08,8.248519942021296e-08,1.0000000095650445,0.0,9.565044534198819e-09,1.0,21,1.3058165851856498e-07,2.1844041995513423e-07,0.9999999855754156,9.191165702457154e-08,8.293698594563637e-08,1.0,1.0,,25,16,0.64,0.41743228000000004,0.6522379375,132.5858,386.45160000000004,408.56313282551577,0.3795407003502223,123,1.0,0.0,16,276.98085416742447,251.75185897858165,423.72784424409565,0.6779389325999566,0.0,0.0
