sample_id,source_type,source_path,output_image_path,status,selected_frame_index,total_frames,fps,width,height,error
aistpp__clips_3s_10fps__00_00_gBR_sBM_c01_d04_mBR0_ch01_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/00_00_gBR_sBM_c01_d04_mBR0_ch01_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__00_00_gBR_sBM_c01_d04_mBR0_ch01_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__clips_3s_10fps__01_01_gBR_sBM_c01_d04_mBR0_ch02_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/01_01_gBR_sBM_c01_d04_mBR0_ch02_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__01_01_gBR_sBM_c01_d04_mBR0_ch02_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__clips_3s_10fps__02_02_gBR_sBM_c01_d04_mBR0_ch03_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/02_02_gBR_sBM_c01_d04_mBR0_ch03_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__02_02_gBR_sBM_c01_d04_mBR0_ch03_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__clips_3s_10fps__03_03_gBR_sBM_c01_d04_mBR0_ch04_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/03_03_gBR_sBM_c01_d04_mBR0_ch04_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__03_03_gBR_sBM_c01_d04_mBR0_ch04_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__clips_3s_10fps__04_04_gBR_sBM_c01_d04_mBR0_ch05_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/04_04_gBR_sBM_c01_d04_mBR0_ch05_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__04_04_gBR_sBM_c01_d04_mBR0_ch05_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__clips_3s_10fps__05_05_gBR_sBM_c01_d04_mBR0_ch06_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/05_05_gBR_sBM_c01_d04_mBR0_ch06_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__05_05_gBR_sBM_c01_d04_mBR0_ch06_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__clips_3s_10fps__06_06_gBR_sBM_c01_d04_mBR0_ch09_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/06_06_gBR_sBM_c01_d04_mBR0_ch09_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__06_06_gBR_sBM_c01_d04_mBR0_ch09_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__clips_3s_10fps__07_07_gBR_sBM_c01_d04_mBR1_ch01_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/07_07_gBR_sBM_c01_d04_mBR1_ch01_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__07_07_gBR_sBM_c01_d04_mBR1_ch01_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__clips_3s_10fps__08_08_gBR_sBM_c01_d04_mBR1_ch02_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/08_08_gBR_sBM_c01_d04_mBR1_ch02_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__08_08_gBR_sBM_c01_d04_mBR1_ch02_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__clips_3s_10fps__09_09_gBR_sBM_c01_d04_mBR2_ch01_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/09_09_gBR_sBM_c01_d04_mBR2_ch01_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__09_09_gBR_sBM_c01_d04_mBR2_ch01_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
aistpp__clips_3s_10fps__10_10_gBR_sBM_c01_d04_mBR2_ch02_3s_10fps,video_middle_frame,/workspace/datasets_shapy_eval/aistpp/clips_3s_10fps/10_10_gBR_sBM_c01_d04_mBR2_ch02_3s_10fps.mp4,/workspace/evaluation/shapy/raw_images/frames_from_videos/aistpp__clips_3s_10fps__10_10_gBR_sBM_c01_d04_mBR2_ch02_3s_10fps.jpg,ok,15.0,30.0,10.0,1920.0,1080.0,
