method,sample_id,input_type,input_image,input_keypoints,prediction_dir,returncode,elapsed_sec,num_pred_files,num_npz,num_ply,status,log_path
SHAPY,img_00,image,/workspace/evaluation/shapy/shapy_input/images/img_00.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_00.json,/workspace/evaluation/shapy/predictions_shapy/img_00,0,37.07257318496704,2,1,1,ok,/workspace/evaluation/shapy/logs/shapy_image_run_img_00.log
SHAPY,img_01,image,/workspace/evaluation/shapy/shapy_input/images/img_01.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_01.json,/workspace/evaluation/shapy/predictions_shapy/img_01,0,26.868605613708496,2,1,1,ok,/workspace/evaluation/shapy/logs/shapy_image_run_img_01.log
SHAPY,img_02,image,/workspace/evaluation/shapy/shapy_input/images/img_02.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_02.json,/workspace/evaluation/shapy/predictions_shapy/img_02,0,29.355066537857056,2,1,1,ok,/workspace/evaluation/shapy/logs/shapy_image_run_img_02.log
SHAPY,img_03,image,/workspace/evaluation/shapy/shapy_input/images/img_03.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_03.json,/workspace/evaluation/shapy/predictions_shapy/img_03,0,16.901036977767944,2,1,1,ok,/workspace/evaluation/shapy/logs/shapy_image_run_img_03.log
SHAPY,img_04,image,/workspace/evaluation/shapy/shapy_input/images/img_04.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_04.json,/workspace/evaluation/shapy/predictions_shapy/img_04,0,26.613699913024902,2,1,1,ok,/workspace/evaluation/shapy/logs/shapy_image_run_img_04.log
SHAPY,img_05,image,/workspace/evaluation/shapy/shapy_input/images/img_05.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_05.json,/workspace/evaluation/shapy/predictions_shapy/img_05,0,22.102099180221558,2,1,1,ok,/workspace/evaluation/shapy/logs/shapy_image_run_img_05.log
SHAPY,img_06,image,/workspace/evaluation/shapy/shapy_input/images/img_06.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_06.json,/workspace/evaluation/shapy/predictions_shapy/img_06,0,16.76355266571045,2,1,1,ok,/workspace/evaluation/shapy/logs/shapy_image_run_img_06.log
SHAPY,img_07,image,/workspace/evaluation/shapy/shapy_input/images/img_07.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_07.json,/workspace/evaluation/shapy/predictions_shapy/img_07,0,20.190969944000244,2,1,1,ok,/workspace/evaluation/shapy/logs/shapy_image_run_img_07.log
SHAPY,img_08,image,/workspace/evaluation/shapy/shapy_input/images/img_08.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_08.json,/workspace/evaluation/shapy/predictions_shapy/img_08,0,21.55513906478882,2,1,1,ok,/workspace/evaluation/shapy/logs/shapy_image_run_img_08.log
SHAPY,img_09,image,/workspace/evaluation/shapy/shapy_input/images/img_09.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_09.json,/workspace/evaluation/shapy/predictions_shapy/img_09,0,20.915706157684326,2,1,1,ok,/workspace/evaluation/shapy/logs/shapy_image_run_img_09.log
SHAPY,img_10,image,/workspace/evaluation/shapy/shapy_input/images/img_10.jpg,/workspace/evaluation/shapy/shapy_input/openpose/img_10.json,/workspace/evaluation/shapy/predictions_shapy/img_10,0,20.48978352546692,2,1,1,ok,/workspace/evaluation/shapy/logs/shapy_image_run_img_10.log
